ldef	mean_chipenrich_caught	prop_covered	n
chromhmm_dnase_thurman.0.P2P_E	0.250302724806838	0.087675183816772	297
chromhmm_dnase_thurman.0.P2P_E_fantom	0.348662344743373	0.160098216658904	297
chromhmm_dnase_thurman.0.P2P_E_thurman	0.335854167963711	0.147469347263321	297
chromhmm_dnase_thurman.0.P2P_E_thurman_fantom	0.378563475379012	0.215473976324229	297
chromhmm_dnase_thurman.0.P2P_fantom	0.302937817978918	0.105240471050785	297
chromhmm_dnase_thurman.0.P2P_thurman	0.281650682972744	0.0928698752456761	297
chromhmm_dnase_thurman.0.P2P_thurman_fantom	0.344058989389379	0.165188530199757	297
chromhmm_dnase_thurman.0.thurman	0.226826730646094	0.0685702970531632	297
chromhmm_dnase_thurman.0.thurman_fantom	0.320461879658654	0.142815742262597	297
chromhmm_dnase_thurman.1000.E	0.132603073624605	0.109208095456637	297
chromhmm_dnase_thurman.1000.E_fantom	0.360827555523119	0.248529257809395	297
chromhmm_dnase_thurman.1000.E_thurman	0.312820631798169	0.206278695990863	297
chromhmm_dnase_thurman.1000.E_thurman_fantom	0.396909697626657	0.337582576552755	297
chromhmm_dnase_thurman.1000.fantom	0.310636429202646	0.149490034396594	297
chromhmm_dnase_thurman.1000.nearest_tss_500000	0.465607774864764	0.333209089032881	297
chromhmm_dnase_thurman.1000.P2P	0.182547918802983	0.0438530919869672	297
chromhmm_dnase_thurman.1000.P2P_E	0.270109770128316	0.147925024409624	297
chromhmm_dnase_thurman.1000.P2P_E_fantom	0.384757586382472	0.284030461611683	297
chromhmm_dnase_thurman.1000.P2P_E_thurman	0.35794581136732	0.241306542927761	297
chromhmm_dnase_thurman.1000.P2P_E_thurman_fantom	0.410563164286657	0.369993455842176	297
chromhmm_dnase_thurman.1000.P2P_fantom	0.34426249089122	0.189439192058539	297
chromhmm_dnase_thurman.1000.P2P_thurman	0.302740649067246	0.144975471239917	297
chromhmm_dnase_thurman.1000.P2P_thurman_fantom	0.378930842297434	0.282002725009011	297
chromhmm_dnase_thurman.1000.thurman	0.243347786952894	0.105885538686981	297
chromhmm_dnase_thurman.1000.thurman_fantom	0.359764133299705	0.246039154445713	297
chromhmm_dnase.0.E	0.131324310166839	0.0622421053431366	297
chromhmm_dnase.0.E_fantom	0.316604326573533	0.134124315995093	297
chromhmm_dnase.0.E_thurman	0.294307325331127	0.123320874122718	297
chromhmm_dnase.0.E_thurman_fantom	0.359977876831922	0.190537440470259	297
chromhmm_dnase.0.fantom	0.258048490743414	0.0771851269253832	297
chromhmm_dnase.0.nearest_tss_500000	0.436266456790407	0.188141729834541	297
chromhmm_dnase.0.P2P	0.162055692278752	0.0276035042446894	297
chromhmm_dnase.0.P2P_E	0.248806143608116	0.0859900175733875	297
chromhmm_dnase.0.P2P_E_fantom	0.346388157869309	0.155886850460697	297
chromhmm_dnase.0.P2P_E_thurman	0.333881862686923	0.144444601260835	297
chromhmm_dnase.0.P2P_E_thurman_fantom	0.376160554613052	0.210061568608217	297
chromhmm_dnase.0.P2P_fantom	0.300899637836033	0.102349813883396	297
chromhmm_dnase.0.P2P_thurman	0.280100200697796	0.0913682736579457	297
chromhmm_dnase.0.P2P_thurman_fantom	0.341851141524784	0.161075305162035	297
chromhmm_dnase.0.thurman	0.225558157801016	0.0672682985280719	297
chromhmm_dnase.0.thurman_fantom	0.318287992720462	0.138920116898389	297
chromhmm_dnase.1000.E	0.131995368839514	0.103231229493267	297
chromhmm_dnase.1000.E_fantom	0.356501183644315	0.229431798136489	297
chromhmm_dnase.1000.E_thurman	0.311345660038267	0.196156829562181	297
chromhmm_dnase.1000.E_thurman_fantom	0.393497339095686	0.31503248911409	297
chromhmm_dnase.1000.fantom	0.305484233774052	0.1352338562206	297
